 num_customers |      avg_balance      
---------------+-----------------------
             1 | 7638.5700000000000000
             1 | 9561.9500000000000000
             1 | 8914.7100000000000000
             1 | 7618.2700000000000000
             1 | 5236.8900000000000000
             1 | 4987.2700000000000000
             1 | 7315.9400000000000000
             1 | 5630.2800000000000000
             1 | 9331.1300000000000000
             1 | 8795.1600000000000000
             1 | 6684.1000000000000000
             1 | 5745.3300000000000000
             1 | 7383.5300000000000000
             1 | 9468.3400000000000000
             1 | 5174.7100000000000000
             1 | 6327.5400000000000000
             1 | 8031.4400000000000000
             1 | 7354.2300000000000000
             1 | 9889.8900000000000000
             1 | 8403.9900000000000000
             1 | 9280.7100000000000000
             1 | 8595.5300000000000000
             1 | 4608.9000000000000000
             1 | 7838.3000000000000000
             1 | 8071.4000000000000000
             1 | 5902.8500000000000000
             1 | 8024.5500000000000000
             1 | 6696.4900000000000000
             1 | 7760.3300000000000000
             1 | 9967.6000000000000000
             1 | 8873.4600000000000000
             1 | 7250.1400000000000000
             1 | 9858.5700000000000000
             1 | 9131.6400000000000000
             1 | 7476.2000000000000000
             1 | 6868.1200000000000000
             1 | 8383.5100000000000000
             1 | 8495.9200000000000000
             1 | 5481.0000000000000000
             1 | 8876.1000000000000000
             1 | 7621.5600000000000000
             1 | 7276.7200000000000000
             1 | 9497.8900000000000000
             1 | 9217.5500000000000000
             1 | 8824.7800000000000000
             1 | 6589.5000000000000000
             1 | 6115.8100000000000000
             1 | 9149.9800000000000000
             1 | 7718.7700000000000000
             1 | 8244.7300000000000000
             1 | 8018.8900000000000000
             1 | 6837.4600000000000000
             1 | 7186.7400000000000000
             1 | 8747.3600000000000000
             1 | 7451.8400000000000000
             1 | 4801.3000000000000000
             1 | 5200.9600000000000000
             1 | 6187.7300000000000000
             1 | 7786.6900000000000000
             1 | 5824.8800000000000000
             1 | 5715.6400000000000000
             1 | 8746.2300000000000000
             1 | 9451.8400000000000000
             1 | 8018.8100000000000000
             1 | 8815.7800000000000000
             1 | 5867.6100000000000000
             1 | 5222.8300000000000000
             1 | 9177.6300000000000000
             1 | 4522.6000000000000000
             1 | 9398.5100000000000000
             1 | 9165.4700000000000000
             1 | 7157.2100000000000000
             1 | 8877.2000000000000000
             1 | 7487.4000000000000000
             1 | 6582.0400000000000000
             1 | 5840.9700000000000000
             1 | 9195.7700000000000000
             1 | 8475.1700000000000000
             1 | 7252.6500000000000000
             1 | 7820.2600000000000000
             1 | 5134.3500000000000000
             1 | 6344.6600000000000000
             1 | 9630.2400000000000000
             1 | 6397.5800000000000000
             1 | 5184.7000000000000000
             1 | 6183.1500000000000000
             1 | 9442.5500000000000000
             1 | 7307.5500000000000000
